GRINNING FACE,&#128512
BLACK SCISSORS ,&#9986
CARD FILE BOX,&#128451
FILE CABINET,&#128452
WASTEBASKET,&#128465
LOCK,&#128274
OPEN LOCK,&#128275
LOCK WITH INK PEN ,&#128271
CLOSED LOCK WITH KEY,&#128272
KEY,&#128273
OLD KEY,&#128477
HAMMER,&#128296
PICK,&#9935
HAMMER AND PICK,&#9874
HAMMER AND WRENCH,&#128736
DAGGER KNIFE ,&#128481
CROSSED SWORDS,&#9876
PISTOL,&#128299
BOW AND ARROW,&#127993
SHIELD,&#128737
WRENCH,&#128295
NUT AND BOLT,&#128297
GEAR,&#9881
COMPRESSION,&#128476
ALEMBIC,&#9879
SCALES ,&#9878
LINK SYMBOL ,&#128279
CHAINS,&#9939
SYRINGE,&#128137
PILL,&#128138
SMOKING SYMBOL ,&#128684
COFFIN,&#9904
FUNERAL URN,&#9905
MOYAI ,&#128511
OIL DRUM,&#128738
CRYSTAL BALL,&#128302
SHOPPING TROLLEY ,&#128722
AUTOMATED TELLER MACHINE ,&#127975
PUT LITTER IN ITS PLACE SYMBOL ,&#128686
POTABLE WATER SYMBOL ,&#128688
WHEELCHAIR SYMBOL ,&#9855
MENS SYMBOL ,&#128697
WOMENS SYMBOL ,&#128698
RESTROOM,&#128699
BABY SYMBOL,&#128700
WATER CLOSET,&#128702
PASSPORT CONTROL,&#128706
CUSTOMS,&#128707
BAGGAGE CLAIM,&#128708
LEFT LUGGAGE,&#128709
WARNING SIGN ,&#9888
CHILDREN CROSSING,&#128696
NO ENTRY,&#9940
NO ENTRY SIGN ,&#128683
NO BICYCLES,&#128691
NO SMOKING SYMBOL ,&#128685
DO NOT LITTER SYMBOL ,&#128687
NON-POTABLE WATER SYMBOL ,&#128689
NO PEDESTRIANS,&#128695
NO MOBILE PHONES,&#128245
NO ONE UNDER EIGHTEEN SYMBOL ,&#128286
RADIOACTIVE SIGN ,&#9762
BIOHAZARD SIGN ,&#9763
UPWARDS BLACK ARROW ,&#11014
NORTH EAST ARROW ,&#8599
BLACK RIGHTWARDS ARROW ,&#10145
SOUTH EAST ARROW ,&#8600
DOWNWARDS BLACK ARROW ,&#11015
SOUTH WEST ARROW ,&#8601
LEFTWARDS BLACK ARROW ,&#11013
NORTH WEST ARROW ,&#8598
UP DOWN ARROW ,&#8597
LEFT RIGHT ARROW ,&#8596
LEFTWARDS ARROW WITH HOOK ,&#8617
RIGHTWARDS ARROW WITH HOOK ,&#8618
ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS ,&#10548
ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS ,&#10549
CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS ,&#128259
ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS ,&#128260
BACK WITH LEFTWARDS ARROW ABOVE ,&#128281
END WITH LEFTWARDS ARROW ABOVE ,&#128282
ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE ,&#128283
SOON WITH RIGHTWARDS ARROW ABOVE ,&#128284
TOP WITH UPWARDS ARROW ABOVE ,&#128285
PLACE OF WORSHIP,&#128720
ATOM SYMBOL,&#9883
OM SYMBOL ,&#128329
STAR OF DAVID,&#10017
WHEEL OF DHARMA,&#9784
YIN YANG,&#9775
LATIN CROSS,&#10013
ORTHODOX CROSS,&#9766
STAR AND CRESCENT,&#9770
PEACE SYMBOL,&#9774
MENORAH WITH NINE BRANCHES ,&#128334
SIX POINTED STAR WITH MIDDLE DOT ,&#128303
BLACK UNIVERSAL RECYCLING SYMBOL ,&#9851
NAME BADGE,&#128219
FLEUR-DE-LIS,&#9884
JAPANESE SYMBOL FOR BEGINNER,&#128304
TRIDENT EMBLEM,&#128305
HEAVY LARGE CIRCLE,&#11093
WHITE HEAVY CHECK MARK,&#9989
BALLOT BOX WITH CHECK,&#9745
HEAVY CHECK MARK,&#10004
HEAVY MULTIPLICATION X,&#10006
CROSS MARK,&#10060
NEGATIVE SQUARED CROSS MARK ,&#10062
HEAVY PLUS SIGN,&#10133
HEAVY MINUS SIGN,&#10134
HEAVY DIVISION SIGN,&#10135
CURLY LOOP,&#10160
DOUBLE CURLY LOOP,&#10175
PART ALTERNATION MARK,&#12349
EIGHT SPOKED ASTERISK ,&#10035
EIGHT POINTED BLACK STAR ,&#10036
SPARKLE,&#10055
DOUBLE EXCLAMATION MARK,&#8252
EXCLAMATION QUESTION MARK,&#8265
BLACK QUESTION MARK ORNAMENT ,&#10067
WHITE QUESTION MARK ORNAMENT ,&#10068
WHITE EXCLAMATION MARK ORNAMENT ,&#10069
HEAVY EXCLAMATION MARK SYMBOL ,&#10071
WAVY DASH,&#12336
COPYRIGHT SIGN ,&#169
REGISTERED SIGN ,&#174
TRADE MARK SIGN ,&#8482
ARIES,&#9800
TAURUS,&#9801
GEMINI,&#9802
CANCER,&#9803
LEO,&#9804
VIRGO,&#9805
LIBRA,&#9806
SCORPIUS,&#9807
SAGITTARIUS,&#9808
CAPRICORN,&#9809
AQUARIUS,&#9810
PISCES,&#9811
OPHIUCHUS,&#9934
TWISTED RIGHTWARDS ARROWS ,&#128256
CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS ,&#128257
CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY ,&#128258
BLACK RIGHT-POINTING TRIANGLE ,&#9654
BLACK RIGHT-POINTING DOUBLE TRIANGLE ,&#9193
BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR ,&#9197
BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR ,&#9199
BLACK LEFT-POINTING TRIANGLE ,&#9664
BLACK LEFT-POINTING DOUBLE TRIANGLE ,&#9194
BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR ,&#9198
UP-POINTING SMALL RED TRIANGLE ,&#128316
BLACK UP-POINTING DOUBLE TRIANGLE ,&#9195
DOWN-POINTING SMALL RED TRIANGLE ,&#128317
BLACK DOWN-POINTING DOUBLE TRIANGLE ,&#9196
DOUBLE VERTICAL BAR ,&#9208
BLACK SQUARE FOR STOP ,&#9209
BLACK CIRCLE FOR RECORD ,&#9210
EJECT SYMBOL ,&#9167
CINEMA,&#127910
LOW BRIGHTNESS SYMBOL ,&#128261
HIGH BRIGHTNESS SYMBOL ,&#128262
ANTENNA WITH BARS ,&#128246
VIBRATION MODE,&#128243
MOBILE PHONE OFF,&#128244
keycap #,5039; &#8419
keycap *,5039; &#8419
keycap 0,5039; &#8419
keycap 1,5039; &#8419
keycap 2,5039; &#8419
keycap 3,5039; &#8419
keycap 4,5039; &#8419
keycap 5,5039; &#8419
keycap 6,5039; &#8419
keycap 7,5039; &#8419
keycap 8,5039; &#8419
keycap 9,5039; &#8419
KEYCAP TEN ,&#128287
HUNDRED POINTS SYMBOL ,&#128175
INPUT SYMBOL FOR LATIN CAPITAL LETTERS ,&#128288
INPUT SYMBOL FOR LATIN SMALL LETTERS ,&#128289
INPUT SYMBOL FOR NUMBERS ,&#128290
INPUT SYMBOL FOR SYMBOLS ,&#128291
INPUT SYMBOL FOR LATIN LETTERS ,&#128292
NEGATIVE SQUARED LATIN CAPITAL LETTER A ,&#127344
NEGATIVE SQUARED AB ,&#127374
NEGATIVE SQUARED LATIN CAPITAL LETTER B ,&#127345
SQUARED CL,&#127377
SQUARED COOL,&#127378
SQUARED FREE,&#127379
INFORMATION SOURCE,&#8505
SQUARED ID,&#127380
CIRCLED LATIN CAPITAL LETTER M ,&#9410
SQUARED NEW,&#127381
SQUARED NG,&#127382
NEGATIVE SQUARED LATIN CAPITAL LETTER O ,&#127358
SQUARED OK,&#127383
NEGATIVE SQUARED LATIN CAPITAL LETTER P ,&#127359
SQUARED SOS,&#127384
SQUARED UP WITH EXCLAMATION MARK ,&#127385
SQUARED VS,&#127386
SQUARED KATAKANA KOKO,&#127489
SQUARED KATAKANA SA,&#127490
SQUARED CJK UNIFIED IDEOGRAPH-6708 ,&#127543
SQUARED CJK UNIFIED IDEOGRAPH-6709 ,&#127542
SQUARED CJK UNIFIED IDEOGRAPH-6307 ,&#127535
CIRCLED IDEOGRAPH ADVANTAGE ,&#127568
SQUARED CJK UNIFIED IDEOGRAPH-5272 ,&#127545
SQUARED CJK UNIFIED IDEOGRAPH-7121 ,&#127514
SQUARED CJK UNIFIED IDEOGRAPH-7981 ,&#127538
CIRCLED IDEOGRAPH ACCEPT ,&#127569
SQUARED CJK UNIFIED IDEOGRAPH-7533 ,&#127544
SQUARED CJK UNIFIED IDEOGRAPH-5408 ,&#127540
SQUARED CJK UNIFIED IDEOGRAPH-7A7A ,&#127539
CIRCLED IDEOGRAPH CONGRATULATION ,&#12951
CIRCLED IDEOGRAPH SECRET ,&#12953
SQUARED CJK UNIFIED IDEOGRAPH-55B6 ,&#127546
SQUARED CJK UNIFIED IDEOGRAPH-6E80 ,&#127541
BLACK SMALL SQUARE,&#9642
WHITE SMALL SQUARE,&#9643
WHITE MEDIUM SQUARE,&#9723
BLACK MEDIUM SQUARE,&#9724
WHITE MEDIUM SMALL SQUARE ,&#9725
BLACK MEDIUM SMALL SQUARE ,&#9726
BLACK LARGE SQUARE,&#11035
WHITE LARGE SQUARE,&#11036
LARGE ORANGE DIAMOND,&#128310
LARGE BLUE DIAMOND,&#128311
SMALL ORANGE DIAMOND,&#128312
SMALL BLUE DIAMOND,&#128313
UP-POINTING RED TRIANGLE ,&#128314
DOWN-POINTING RED TRIANGLE ,&#128315
DIAMOND SHAPE WITH A DOT INSIDE ,&#128160
RADIO BUTTON,&#128280
BLACK SQUARE BUTTON,&#128306
WHITE SQUARE BUTTON,&#128307
MEDIUM WHITE CIRCLE ,&#9898
MEDIUM BLACK CIRCLE ,&#9899
LARGE RED CIRCLE ,&#128308
LARGE BLUE CIRCLE ,&#128309
CHEQUERED FLAG,&#127937
TRIANGULAR FLAG ON POST ,&#128681
CROSSED FLAGS,&#127884
WAVING BLACK FLAG,&#127988
WAVING WHITE FLAG,&#127987
Ascension Island, &#127464
Andorra, &#127465
United Arab Emirates, &#127466
Afghanistan, &#127467
Antigua & Barbuda, &#127468
Anguilla, &#127470
Albania, &#127473
Armenia, &#127474
Angola, &#127476
Antarctica, &#127478
Argentina, &#127479
American Samoa, &#127480
Austria, &#127481
Australia, &#127482
Aruba, &#127484
Ã…land Islands, &#127485
Azerbaijan, &#127487
Bosnia & Herzegovina, &#127462
Barbados, &#127463
Bangladesh, &#127465
Belgium, &#127466
Burkina Faso, &#127467
Bulgaria, &#127468
Bahrain, &#127469
Burundi, &#127470
Benin, &#127471
St. BarthÃ©lemy, &#127473
Bermuda, &#127474
Brunei, &#127475
Bolivia, &#127476
Caribbean Netherlands, &#127478
Brazil, &#127479
Bahamas, &#127480
Bhutan, &#127481
Bouvet Island, &#127483
Botswana, &#127484
Belarus, &#127486
Belize, &#127487
Canada, &#127462
Cocos (Keeling) Islands, &#127464
Congo - Kinshasa, &#127465
Central African Republic, &#127467
Congo - Brazzaville, &#127468
Switzerland, &#127469
CÃ´te dâ€™Ivoire, &#127470
Cook Islands, &#127472
Chile, &#127473
Cameroon, &#127474
China, &#127475
Colombia, &#127476
Clipperton Island, &#127477
Costa Rica, &#127479
Cuba, &#127482
Cape Verde, &#127483
CuraÃ§ao, &#127484
Christmas Island, &#127485
Cyprus, &#127486
Czech Republic, &#127487
Germany, &#127466
Diego Garcia, &#127468
Djibouti, &#127471
Denmark, &#127472
Dominica, &#127474
Dominican Republic, &#127476
Algeria, &#127487
Ceuta & Melilla, &#127462
Ecuador, &#127464
Estonia, &#127466
Egypt, &#127468
Western Sahara, &#127469
Eritrea, &#127479
Spain, &#127480
Ethiopia, &#127481
European Union, &#127482
Finland, &#127470
Fiji, &#127471
Falkland Islands, &#127472
Micronesia, &#127474
Faroe Islands, &#127476
France, &#127479
Gabon, &#127462
United Kingdom, &#127463
Grenada, &#127465
Georgia, &#127466
French Guiana, &#127467
Guernsey, &#127468
Ghana, &#127469
Gibraltar, &#127470
Greenland, &#127473
Gambia, &#127474
Guinea, &#127475
Guadeloupe, &#127477
Equatorial Guinea, &#127478
Greece, &#127479
South Georgia & South Sandwich Islands, &#127480
Guatemala, &#127481
Guam, &#127482
Guinea-Bissau, &#127484
Guyana, &#127486
Hong Kong SAR China, &#127472
Heard & McDonald Islands, &#127474
Honduras, &#127475
Croatia, &#127479
Haiti, &#127481
Hungary, &#127482
Canary Islands, &#127464
Indonesia, &#127465
Ireland, &#127466
Israel, &#127473
Isle of Man, &#127474
India, &#127475
British Indian Ocean Territory, &#127476
Iraq, &#127478
Iran, &#127479
Iceland, &#127480
Italy, &#127481
Jersey, &#127466
Jamaica, &#127474
Jordan, &#127476
Japan, &#127477
Kenya, &#127466
Kyrgyzstan, &#127468
Cambodia, &#127469
Kiribati, &#127470
Comoros, &#127474
St. Kitts & Nevis, &#127475
North Korea, &#127477
South Korea, &#127479
Kuwait, &#127484
Cayman Islands, &#127486
Kazakhstan, &#127487
Laos, &#127462
Lebanon, &#127463
St. Lucia, &#127464
Liechtenstein, &#127470
Sri Lanka, &#127472
Liberia, &#127479
Lesotho, &#127480
Lithuania, &#127481
Luxembourg, &#127482
Latvia, &#127483
Libya, &#127486
Morocco, &#127462
Monaco, &#127464
Moldova, &#127465
Montenegro, &#127466
St. Martin, &#127467
Madagascar, &#127468
Marshall Islands, &#127469
Macedonia, &#127472
Mali, &#127473
Myanmar (Burma), &#127474
Mongolia, &#127475
Macau SAR China, &#127476
Northern Mariana Islands, &#127477
Martinique, &#127478
Mauritania, &#127479
Montserrat, &#127480
Malta, &#127481
Mauritius, &#127482
Maldives, &#127483
Malawi, &#127484
Mexico, &#127485
Malaysia, &#127486
Mozambique, &#127487
Namibia, &#127462
New Caledonia, &#127464
Niger, &#127466
Norfolk Island, &#127467
Nigeria, &#127468
Nicaragua, &#127470
Netherlands, &#127473
Norway, &#127476
Nepal, &#127477
Nauru, &#127479
Niue, &#127482
New Zealand, &#127487
Oman, &#127474
Panama, &#127462
Peru, &#127466
French Polynesia, &#127467
Papua New Guinea, &#127468
Philippines, &#127469
Pakistan, &#127472
Poland, &#127473
St. Pierre & Miquelon, &#127474
Pitcairn Islands, &#127475
Puerto Rico, &#127479
Palestinian Territories, &#127480
Portugal, &#127481
Palau, &#127484
Paraguay, &#127486
Qatar, &#127462
RÃ©union, &#127466
Romania, &#127476
Serbia, &#127480
Russia, &#127482
Rwanda, &#127484
Saudi Arabia, &#127462
Solomon Islands, &#127463
Seychelles, &#127464
Sudan, &#127465
Sweden, &#127466
Singapore, &#127468
St. Helena, &#127469
Slovenia, &#127470
Svalbard & Jan Mayen, &#127471
Slovakia, &#127472
Sierra Leone, &#127473
San Marino, &#127474
Senegal, &#127475
Somalia, &#127476
Suriname, &#127479
South Sudan, &#127480
SÃ£o TomÃ© & PrÃ­ncipe, &#127481
El Salvador, &#127483
Sint Maarten, &#127485
Syria, &#127486
Swaziland, &#127487
Tristan da Cunha, &#127462
Turks & Caicos Islands, &#127464
Chad, &#127465
French Southern Territories, &#127467
Togo, &#127468
Thailand, &#127469
Tajikistan, &#127471
Tokelau, &#127472
Timor-Leste, &#127473
Turkmenistan, &#127474
Tunisia, &#127475
Tonga, &#127476
Turkey, &#127479
Trinidad & Tobago, &#127481
Tuvalu, &#127483
Taiwan, &#127484
Tanzania, &#127487
Ukraine, &#127462
Uganda, &#127468
U.S. Outlying Islands, &#127474
United States, &#127480
Uruguay, &#127486
Uzbekistan, &#127487
Vatican City, &#127462
St. Vincent & Grenadines, &#127464
Venezuela, &#127466
British Virgin Islands, &#127468
U.S. Virgin Islands, &#127470
Vietnam, &#127475
Vanuatu, &#127482
Wallis & Futuna, &#127467
Samoa, &#127480
Kosovo, &#127472
Yemen, &#127466
Mayotte, &#127481
South Africa, &#127462
Zambia, &#127474
Zimbabwe, &#127484
